GONNEVILLE LA MALLET;FRPB37
GOURDON;FRPB38
GOUZON;FRPB39
GRAND CHAMP -VANNES;FRPAIB
GRANDVILLIERS ST FUS;FRPG88
GRAY;FRPG89
GRESY S/AIX;FRPG90
GRISOLLES;FRPADC
GROISY;FRPG92
GUER;FRPG93
GUERANDE;FRPG94
GUERET;FRPG95
GUIGNES;FRPZ92
GUIGNICOURT;FRPG97
GUILLESTRE;FRPB40
GUINES -2;FRPAEA
GUISE;FRPAVD
GUJAN MESTRAS;FRPB41
GUYANCOURT;FRPCFH
HAGETMAU;FRPCFR
HAILLICOURT;FRPH02
HAM;FRPH03
HAUTEVILLE LOMPNES;FRPW33
HEM;FRPH07
HENDAYE -ALLEES;FRPCFS
HESDIN;FRPH11
HONFLEUR;FRPB53
HYERES;FRPB54
ILLE S/TET;FRPB55
INGRE;FRPB56
IRIGNY;FRPH15
ISBERGUES;FRPH16
ISIGNY S/MER;FRPB57
ISSOUDUN;FRPAP4
IVRY S/SEINE;FRPH19
JASSANS;FRPH21
JEUMONT;FRPH22
JONAGE;FRPH23
JOUY LE MOUTIER;FRPH25
JOYEUSE;FRPB60
JUSSEY;FRPAMX
L'ARBRESLE;FRPA16
L'ISLE JOURDAIN;FRPAHT
LA BRILLANNE;FRPAIJ
LA CAPELLE;FRPA73
LA CHATRE;FRPCEH
LA CHAUSSEE ST VICTO;FRPF64
LA CLUSE;FRPI35
LA CRAU;FRPB02
LA FERTE ALAIS;FRPCF5
LA FERTE BERNARD-BRU;FRPG56
LA FERTE ST AUBIN;FRPBC2
LA FLECHE -MOLANS;FRPAFS
LA HAYE DU PUITS;FRPH06
LA LOUPE;FRPBC3
LA MONNERIE;FRPB94
LA PRIMAUBE;FRPYBU
LA ROCHE S/F -AMANCY;FRPC96
LA ROCHETTE;FRPAH7
LA SOUTERRAINE;FRPK11
LA VOULTE S/RHONE;FRPW17
LAGNIEU;FRPH26
LAILLE -PT DU JOUR;FRPAI5
LALLAING;FRPAMS
LAMBALLE -LAVERGNE;FRPYAH
LAMORLAYE;FRPH28
LAMOTTE BEUVRON;FRPH29
LANDRECIES;FRPH30
LANGEAIS;FRPB63
LANNEMEZAN;FRPCFT
LAON -CHRIST;FRPAHC
LAON -MENU;FRPH34
LAPALISSE;FRPH35
LAROQUE DES ALBERES;FRPB64
LAVAL;FRPCF1
LAVELANET -8 MAI;FRPH37
LE BEAUSSET;FRPA37
LE CHAMBON FEUGEROLL;FRPATR
LE COTEAU;FRPF86
LE CRES -JACOU;FRPG02
LE CREUSOT -ARCHE;FRPG04
LE FAOUET;FRPAIU
LE HAVRE -BELLANGER;FRPB45
LE HAVRE -BRIAND;FRPB46
LE HAVRE -SANVIC;FRPH05
LE HAVRE -TURENNE;FRPB47
LE HAVRE -VALLEE;FRPB48
LE LAVANDOU;FRPB65
LE MANS -ARNAGE;FRPH82
LE MANS -CHASSE ROYA;FRPBCB
LE MANS -MAILLETS;FRPH84
LE MANS -O.HEUZE;FRPAQR
LE MANS -PIRON;FRPCER
LE MANS -SABLONS;FRPASM
LE MANS -UNIVERSITE;FRPAVB
LE MESNIL ESNARD;FRPI08
LE NOUVION EN THIERA;FRPI68
LE PLESSIS ROBINSON;FRPJ11
LE PONTEL;FRPL50
LE PRE ST GERVAIS;FRPJ32
LE PT QUEVILLY -JAUR;FRPJ02
LE TAILLAN MEDOC;FRPR24
LE TIGNET;FRPW32
LE TOUQUET;FRPK97
LE TRAIT;FRPD58
LEFOREST;FRPB66
LENS -MAES;FRPH38
LENS -ZOLA;FRPH39
LEON;FRPCFU
LES ABRETS;FRPA02
LES AIX D'ANGILLON;FRPA06
LES ANDELYS;FRPD93
LES ROUSSES;FRPD03
LES SABLES -CASTELNA;FRPAHS
LES SABLES -GARLIERE;FRPAMY
LES VANS;FRPD67
LESIGNY;FRPAWA
LEZAT;FRPB68
LEZIGNAN CORBIERES;FRPB69
LEZOUX;FRPH43
LIBERCOURT;FRPB70
LIGNIERES;FRPB72
LIGNY EN BARROIS;FRPH46
LILLE -FIVES;FRPH47
LILLE -GAMBETTA;FRPH48
LILLE -LA MADELEINE;FRPH49
LILLE -MOSELLE;FRPH50
LILLERS -DEKEISER;FRPH51
LIMOGES -PAGUENAUD;FRPAUA
LIMOGES -ROUSSILLON;FRPH56
LIMOURS;FRPH58
LISLET;FRPH60
LIVRY GARGAN -MAG;FRPH61
LOCMINE;FRPH62
LOCTUDY;FRPAIC
LONGPERRIER;FRPH64
LONGUEIL ANNEL;FRPH65
LONS LE SAUNIER;FRPH67
LORETTE;FRPH69
LORIENT -ORIENTIS;FRPCDE
LOUHANS;FRPH73
LOURDES -POURXET;FRPH75
LOUVIERS -CHAMP DE V;FRPBBU
LUZARCHES;FRPH77
LYON -FRERES LUMIERE;FRPB79
MAGNY EN VEXIN;FRPAG2
MAICHE;FRPB80
MAIGNELAY MONTIGNY;FRPADE
MALESHERBES;FRPB81
MANOM;FRPH81
MANTES LA JOLIE;FRPH89
MARCK EN CALAISIS;FRPAHH
MARIGNY;FRPAIS
MARINES;FRPAGJ
MARLE;FRPAHD
MARLY;FRPH93
MARLY LE ROI -TERRES;FRPH94
MARMANDE -2;FRPAKY
MAROLLES EN HUREPOIX;FRPH95
MARQUISE;FRPH96
MARSEILLAN;FRPB84
MARSEILLE -AMARYLLIS;FRPB85
MARSEILLE -BELLE MAI;FRPH97
MARSEILLE -CATALANS;FRPYCK
MARSEILLE -SCHUMAN;FRPAUK
MARSEILLE -ST BARNAB;FRPH98
MARVEJOLS;FRPB86
MASSY -2;FRPB87
MAULEON-LICHARRE;FRPH99
MAULETTE;FRPB88
MAURIAC;FRPB89
MAYENNE;FRPCH1
MEHUN S/YEVRE;FRPI02
MELUN;FRPI04
MENUCOURT;FRPAWI
MERCIN ET VAUX -2;FRPAIP
MERIGNAC -MONTESQUIE;FRPAA6
MEUDON;FRPI09
MEXIMIEUX;FRPI10
MEYZIEU;FRPI11
MEZE;FRPI12
MEZIDON CANON;FRPCF6
MEZIERES;FRPZ87
MEZZAVIA;FRPB90
MILLAU;FRPYBV
MILLY LA FORET;FRPI14
MIMIZAN;FRPAEI
MIRAMAS;FRPI15
MIRANDE;FRPB91
MIRECOURT;FRPI16
MIRIBEL;FRPI17
MOIRANS;FRPI18
MONDONVILLE;FRPAP6
MONISTROL S/LOIRE;FRPI20
MONT DE MARSAN;FRPB97
MONTALIEU VERCIEU;FRPI21
MONTBRISON;FRPAMQ
MONTELIMAR -DIEULEFI;FRPI24
MONTEREAU FAULT-YONN;FRPI27
MONTESSON;FRPI28
MONTEUX;FRPCD3
MONTMARAULT;FRPB99
MONTMIRAIL;FRPCF8
MONTPELLIER -CROIX A;FRPI33
MONTPELLIER -J COEUR;FRPAKX
MONTPELLIER -JUSTICE;FRPI34
MONTREJEAU;FRPCFV
MONTREUIL -C DE VILL;FRPAM3
MONTREUIL -CAMPIGNEU;FRPYBE
MONTREVEL EN BRESSE;FRPI38
MONTROND LES BAINS;FRPI39
MONTROUGE;FRPC01
MORANGIS;FRPI40
MOREUIL;FRPW54
MORTAIN;FRPI43
MORTEAU;FRPC02
MORZINE;FRPC03
MOUGINS -REFUGE;FRPADB
MOUGINS -TOURNAMY;FRPI44
MOUROUX;FRPAWB
MOUTIERS -SALINES;FRPC05
MULSANNE;FRPI47
NANGIS;FRPI48
NANTERRE -PICASSO 2;FRPAKM
NANTES -RP DE VANNES;FRPC11
NANTEUIL LES M -FOUL;FRPADI
ND DE GRAVENCHON;FRPC12
NERAC;FRPCFW
NESLES;FRPI51
NEUILLY EN THELLE;FRPC14
NEUVILLE -LIBERATION;FRPC16
